characters_count,and_or_count,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_direct_obj,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,label
25,1,1,0,1,0,0,1,1,0,0,-1,1,1,1,174,good
71,1,1,1,1,0,0,0,2,3,0,0,1,1,1,6,bad
24,1,0,1,1,0,0,1,2,1,0,0,0.73,0.91,1,148,good
72,0,1,1,1,0,0,1,1,4,0,0,-1,0.94,1,22,good
54,0,1,1,1,0,0,1,3,8,0,0,1,1,1,90,neutral
102,1,1,1,0,0,0,1,1,0,0,-1,1,1,1,92,bad
44,1,1,1,1,0,0,1,1,4,0,0,-1,-1,-1,6,neutral
46,1,1,1,1,0,0,1,1,1,0,0,1,1,1,13,good
33,1,1,1,0,0,0,0,2,0,0,-1,0.7,0.88,1,583,bad
53,1,1,0,1,0,0,1,1,1,0,0,-1,-1,-1,2,neutral
35,1,0,1,1,0,0,1,3,20,0,0.05,0.3,0.97,0.31,190,bad
67,1,0,1,1,0,0,1,2,2,0,0.5,1,1,1,35,neutral
40,1,1,1,1,0,0,1,1,0,0,-1,1,1,1,30,good
24,1,0,1,1,0,0,1,2,0,0,-1,0.42,0.92,0.47,567,bad
78,1,1,1,0,0,0,1,2,1,0,0,0.56,-1,0.56,5,bad
24,1,1,1,1,1,1,1,7,0,0,-1,-1,-1,-1,449,bad
45,0,1,1,1,1,1,1,48,0,0,-1,0.61,0.65,0.77,6205,bad
43,1,1,1,1,1,1,1,118,1,0,0,0.62,0.87,0.91,6920,bad
31,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,211,good
25,1,1,1,1,1,1,1,3,0,0,-1,-1,-1,-1,4,good
42,1,1,1,1,1,1,1,15,0,0,-1,-1,-1,-1,93,neutral
38,1,1,1,1,1,1,1,27,0,0,-1,-1,-1,-1,35,neutral
48,1,1,1,1,1,1,1,7,0,0,-1,-1,-1,-1,29,good
43,1,1,1,1,1,1,1,6,0,0,-1,-1,-1,-1,63,neutral
38,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,good
32,1,1,1,1,1,1,1,10,1,0,0,1,1,1,79,bad
